school_district_type,school_district_id,school_district_name
01,0719,Prior Lake-Savage Area Schools
01,0720,Shakopee Public School District
01,0721,New Prague Area Schools
01,0726,Becker Public School District
01,0727,Big Lake Public School District
01,0728,Elk River School District
01,0738,Holdingford Public School District
01,0739,Kimball Public School District
01,0740,Melrose Public School District
01,0741,Paynesville Public School District
01,0742,St. Cloud Public School District
01,0743,Sauk Centre Public School District
01,0745,Albany Public School District
01,0748,Sartell-St. Stephen School District
01,0750,Rocori Public School District
01,0756,Blooming Prairie Public School Dist
01,0761,Owatonna Public School District
01,0763,Medford Public School District
01,0768,Hancock Public School District
01,0771,Chokio-Alberta Public School Dist.
01,0775,Kerkhoven-Murdock-Sunburg
01,0777,Benson Public School District
01,0786,Bertha-Hewitt Public School District
01,0787,Browerville Public School District
01,0801,Browns Valley Public School Dist.
01,0803,Wheaton Area Public School District
01,0811,Wabasha-Kellogg Public School Dist.
01,0813,Lake City Public School District
01,0818,Verndale Public School District
01,0820,Sebeka Public School District
01,0821,Menahga Public School District
01,0829,Waseca Public School District
01,0831,Forest Lake Public School District
01,0832,Mahtomedi Public School District
01,0833,South Washington County School Dist
01,0834,Stillwater Area Public School Dist.
01,0836,Butterfield Public School District
01,0837,Madelia Public School District
01,0840,St. James Public School District
01,0846,Breckenridge Public School District
01,0850,Rothsay Public School District
01,0852,Campbell-Tintah Public School Dist.
01,0857,Lewiston-Altura Public School Dist.
01,0858,St. Charles Public School District
01,0861,Winona Area Public School District
01,0876,Annandale Public School District
01,0877,Buffalo-Hanover-Montrose Public Sch
01,0879,Delano Public School District
01,0881,Maple Lake Public School District
01,0882,Monticello Public School District
01,0883,Rockford Public School District
01,0885,St. Michael-Albertville School Dist
01,0891,Canby Public School District
01,0911,Cambridge-Isanti Public School Dist
01,0912,Milaca Public School District
01,0914,Ulen-Hitterdal Public School Dist
01,2071,Lake Crystal-Wellcome Memorial
01,2125,Triton School District
01,2134,United South Central School Dist.
01,2135,Maple River School District
01,2137,Kingsland Public School District
01,2142,St. Louis County School District
01,2143,Waterville-Elysian-Morristown Public School District
01,2144,Chisago Lakes School District
01,2149,Minnewaska School District
01,2154,Eveleth-Gilbert School District
01,2155,Wadena-Deer Creek School District
01,2159,Buffalo Lk-Hector-Stewart Public Sc
01,2164,Dilworth-Glyndon-Felton
01,2165,Hinckley-Finlayson School District
01,2167,Lakeview School District
01,2168,NRHEG School District
01,2169,Murray County Central School Dist.
01,2170,Staples-Motley School District
01,2171,Kittson Central School District
01,2172,Kenyon-Wanamingo School District
01,2174,Pine River-Backus School District
01,2176,Warren-Alvarado-Oslo School Dist.
01,2180,MACCRAY School District
01,2184,Luverne Public School District
01,2190,Yellow Medicine East
01,2198,Fillmore Central
01,2215,Norman County East School District
01,2310,Sibley East School District
01,2311,Clearbrook-Gonvick School District
01,2342,West Central Area
01,2358,Tri-County School District
01,2364,Belgrade-Brooten-Elrosa Public School District
01,2365,G.F.W.
01,2396,A.C.G.C. Public School District
01,2397,Le Sueur-Henderson School District
01,2448,Martin County West School District
01,2527,Norman County West School District
01,2534,Bird Island-Olivia-Lake Lillian Public School District
01,2536,Granada Huntley East Chain
01,2580,East Central School District
01,2609,Win-E-Mac School District
01,2683,Greenbush-Middle River School Dist.
01,2687,Howard Lake-Waverly-Winsted
01,2689,Pipestone Area School District
01,2711,Mesabi East School District
01,2752,Fairmont Area School District
01,2753,Long Prairie-Grey Eagle School District
01,2754,Cedar Mountain School District
01,2769,Morris Area Public Schools
01,2805,Zumbrota-Mazeppa School District
01,2835,Janesville-Waldorf-Pemberton
01,2853,Lac qui Parle Valley School Dist.
01,2854,Ada-Borup Public School District
01,2856,Stephen-Argyle Central Schools
01,2859,Glencoe-Silver Lake School District
01,2860,Blue Earth Area Public School
01,2884,Red Rock Central School District
01,2886,Glenville-Emmons School District
01,2888,Clinton-Graceville-Beardsley
01,2889,Lake Park Audubon School District
01,2890,Renville County West School Dist.
01,2895,Jackson County Central School Dist.
01,2897,Redwood Area School District
01,2898,Westbrook-Walnut Grove Schools
01,2899,Plainview-Elgin-Millville
01,2902,RTR Public Schools
01,2903,Ortonville Public Schools
01,2904,Tracy Area Public School District
01,2905,Tri-City United School District
01,2906,Red Lake County Central Public Schools
01,2907,Round Lake-Brewster Public Schools
01,2908,Brandon-Evansville Public Schools
02,0323,Franconia Public School District
02,0815,Prinsburg Public School District
03,0001,Minneapolis Public School District
03,0006,South St. Paul Public School Dist.
